19557	{'longtitude': -122.007523}	4
16079	{'longtitude': 6.84328}	2
11542	{'longtitude': -91.62685966666666}	2
12597	{'longtitude': 16.62083425}	4
11541	{'longtitude': -80.83390833333334}	2
11875	{'longtitude': -77.488503}	2
11544	{'longtitude': -93.2715}	2
11548	{'longtitude': -96.53506112121217}	3
11549	{'longtitude': -88.94245187499999}	2
19556	{'longtitude': -73.964699}	3
19398	{'longtitude': -75.8241155}	2
19396	{'longtitude': -82.9782688}	1
19394	{'longtitude': -77.488503}	2
19393	{'longtitude': -75.66915633333333}	1
19392	{'longtitude': -90.54464}	1
19390	{'longtitude': -110.766418}	2
16073	{'longtitude': 4.88333}	1
22266	{'longtitude': -112.042511}	1
16071	{'longtitude': 1.39399}	1
16077	{'longtitude': 2.3488}	2
16076	{'longtitude': 11.79301}	1
16075	{'longtitude': 14.42076}	2
16074	{'longtitude': 4.88969}	1
6794	{'longtitude': 15.97798}	1
6795	{'longtitude': 37.615559}	5
6793	{'longtitude': 25.9824237}	8
6790	{'longtitude': 19.339749666666666}	10
6298	{'longtitude': -118.6286525}	1
6798	{'longtitude': 13.572465000000001}	3
6799	{'longtitude': 20.07017675}	12
11547	{'longtitude': 8.68417}	2
270	{'longtitude': -86.42128007692307}	2
271	{'longtitude': -119.39915381557402}	5
16251	{'longtitude': 17.141741}	1
15368	{'longtitude': 10.01534}	1
16709	{'longtitude': -77.488503}	2
19976	{'longtitude': -90.54464}	1
16255	{'longtitude': -0.12574}	1
19974	{'longtitude': -77.10939049999999}	2
16705	{'longtitude': -75.7995455}	2
16704	{'longtitude': -84.387978}	1
16707	{'longtitude': -117.914497}	2
16702	{'longtitude': -86.42550299999999}	1
12019	{'longtitude': -76.4142}	1
12018	{'longtitude': -121.95291099999999}	2
12015	{'longtitude': -96.017551}	2
12014	{'longtitude': -77.397331}	1
12016	{'longtitude': -81.95786323076922}	3
12013	{'longtitude': -80.099686}	2
12012	{'longtitude': -100.253096}	1
15483	{'longtitude': 12.4839}	2
17250	{'longtitude': -99.134186}	2
17251	{'longtitude': -85.11008966666667}	1
17252	{'longtitude': -59.4468704}	1
17253	{'longtitude': -83.7372135}	1
17254	{'longtitude': -84.766869}	1
17255	{'longtitude': -65.63261433333334}	1
17256	{'longtitude': -91.71046433333333}	3
10708	{'longtitude': -106.30570822222222}	2
9528	{'longtitude': 126.98618000000002}	2
9529	{'longtitude': 126.977829}	1
9258	{'longtitude': 151.81424433333333}	1
9259	{'longtitude': 114.157692}	1
9524	{'longtitude': 126.977829}	1
9525	{'longtitude': 126.977829}	2
9526	{'longtitude': 126.96925646153844}	3
10700	{'longtitude': -90.894478}	4
9252	{'longtitude': 151.207321}	1
9522	{'longtitude': 126.977829}	2
10704	{'longtitude': -42.9073882}	2
65500	{'longtitude': 12.4839}	1
20806	{'longtitude': 39.41394}	2
18517	{'longtitude': -91.14062849999999}	3
21617	{'longtitude': -76.93938411111111}	1
21616	{'longtitude': -74.297188}	1
21611	{'longtitude': -87.804901}	2
4644	{'longtitude': -88.696388}	1
21612	{'longtitude': -43.2075}	1
16647	{'longtitude': -102.47035550000001}	1
3512	{'longtitude': -84.336037}	1
3510	{'longtitude': 135.568604}	2
2688	{'longtitude': -74.39080496551723}	2
2685	{'longtitude': -95.16991496}	11
2686	{'longtitude': -34.385472559523805}	52
2687	{'longtitude': 85.47225109090907}	12
11952	{'longtitude': -77.174522}	2
2683	{'longtitude': 37.450024}	6
14624	{'longtitude': -100.20123479545451}	2
14625	{'longtitude': -94.545517}	2
14626	{'longtitude': -88.80711133333332}	2
14621	{'longtitude': -78.57880299999998}	1
14623	{'longtitude': -104.883926}	1
14628	{'longtitude': -121.442703}	2
14629	{'longtitude': -94.19208300000001}	2
98	{'longtitude': -73.961014}	1
91	{'longtitude': -73.605118}	2
90	{'longtitude': -118.8745282666667}	2
93	{'longtitude': 8.68417}	1
13058	{'longtitude': 12.422899999999998}	2
13052	{'longtitude': 8.035120000000001}	1
13053	{'longtitude': 30.5238}	4
13050	{'longtitude': 1.39399}	2
13056	{'longtitude': 41.433891}	1
13057	{'longtitude': 12.56553}	1
13054	{'longtitude': -1.6678510000000002}	2
18703	{'longtitude': -78.896202}	2
18702	{'longtitude': -118.243683}	1
18701	{'longtitude': -94.4799445}	3
18700	{'longtitude': -83.712681}	2
18707	{'longtitude': -87.112988}	2
18706	{'longtitude': -92.045235}	1
18705	{'longtitude': -80.498024}	3
18704	{'longtitude': -6.26719}	1
1376	{'longtitude': -49.27306}	1
18709	{'longtitude': -77.442917}	2
18708	{'longtitude': -90.54464}	2
16234	{'longtitude': 30.665889999999997}	2
17829	{'longtitude': 142.4458298}	1
17828	{'longtitude': 147.179718}	2
13363	{'longtitude': -77.488503}	2
17825	{'longtitude': 116.397232}	1
17824	{'longtitude': 139.691696}	1
17821	{'longtitude': 104.1379058}	1
17820	{'longtitude': 77.1708335}	2
20258	{'longtitude': -96.4773635}	1
20259	{'longtitude': -107.38742399999998}	2
20253	{'longtitude': -122.386948}	1
20250	{'longtitude': -79.202408}	2
20256	{'longtitude': -77.401871}	1
20257	{'longtitude': -79.826347}	2
16237	{'longtitude': 4.88969}	4
16883	{}	2
16236	{'longtitude': 2.04952}	2
16379	{'longtitude': 11.57549}	2
16880	{'longtitude': -84.387978}	2
7181	{'longtitude': -98.67339700000002}	1
7182	{'longtitude': -107.88828566666666}	2
7183	{'longtitude': -81.19791342857141}	2
7184	{'longtitude': -96.916672}	1
12833	{'longtitude': -9.13333}	1
12832	{'longtitude': 37.038609}	2
16392	{'longtitude': -103.26798600000001}	3
12830	{'longtitude': 11.57549}	2
15289	{'longtitude': -77.488503}	4
15288	{'longtitude': -83.42541296491233}	2
12835	{'longtitude': 11.52009}	2
12834	{'longtitude': 12.56553}	2
15285	{'longtitude': -77.488503}	2
8016	{'longtitude': -83.88639476923078}	4
8015	{'longtitude': -90.55134217647058}	9
8546	{'longtitude': 0.24054000000000003}	1
15281	{'longtitude': -82.09142299999999}	2
8012	{'longtitude': -38.75123742857142}	3
8543	{'longtitude': -0.13489333333333334}	8
8010	{'longtitude': -77.44355370588234}	3
7456	{'longtitude': -78.75825030769231}	2
7454	{'longtitude': -71.99985900000001}	2
7452	{'longtitude': -88.80602099999999}	2
625	{'longtitude': -76.001518}	2
7450	{'longtitude': -93.032219}	2
7459	{'longtitude': -86.8541945}	3
19335	{'longtitude': -108.05073066666667}	2
4596	{'longtitude': -81.713501}	1
22006	{'longtitude': -77.488503}	1
13603	{'longtitude': -86.832878}	2
4733	{'longtitude': 139.691696}	2
2746	{'longtitude': -83.012772}	2
17662	{'longtitude': 151.100006}	2
10884	{'longtitude': -80.41431712500001}	2
10886	{'longtitude': -77.052795}	14
10887	{'longtitude': -94.556549}	1
10881	{'longtitude': -49.16420971428572}	4
10882	{'longtitude': -76.94307928070174}	2
13607	{'longtitude': -95.30560337499998}	2
12877	{'longtitude': 26.10626}	3
8291	{'longtitude': 17.094738800000002}	1
15006	{'longtitude': -78.896202}	2
15005	{'longtitude': -83.46772757142858}	2
15551	{'longtitude': -1.38333}	1
12876	{'longtitude': 2.3488}	5
4738	{'longtitude': 144.64754140000002}	3
8294	{'longtitude': 19.9793005}	1
15001	{'longtitude': -117.8582}	1
15000	{'longtitude': -93.52675225}	1
19336	{'longtitude': -97.82050699999999}	2
394	{'longtitude': -86.245903}	1
22010	{'longtitude': -79.51973}	1
398	{'longtitude': -83.012772}	1
22016	{'longtitude': -122.196617}	1
22017	{'longtitude': -88.110123}	2
22014	{'longtitude': -77.306374}	2
22015	{'longtitude': -122.248833}	2
4729	{'longtitude': 139.895851}	2
4728	{'longtitude': 139.691696}	2
4725	{'longtitude': 136.70746799999995}	26
13615	{'longtitude': -69.70876816666666}	2
13616	{'longtitude': -79.659431}	2
13617	{'longtitude': -96.798798}	1
4721	{'longtitude': 139.691696}	2
13611	{'longtitude': -84.3209}	1
4723	{'longtitude': 139.691696}	2
15558	{'longtitude': -2.23743}	1
11288	{'longtitude': -83.6551872222222}	2
16066	{'longtitude': 30.5238}	1
19700	{'longtitude': -101.84075200000001}	2
16061	{'longtitude': 34.780571}	2
16062	{'longtitude': 20.5865758}	1
