"42540543304894218493031940561836179456","42540543304895427418851555191010885631","2001:2b8:61::/48","17832","Korea Internet Security Agency"
"42540543304895427418851555191010885632","42540543304896636344671169820185591807","2001:2b8:62::/48","17832","Korea Internet Security Agency"
"42540543304896636344671169820185591808","42540543304897845270490784449360297983","2001:2b8:63::/48","17832","Korea Internet Security Agency"
"42540543304897845270490784449360297984","42540543304899054196310399078535004159","2001:2b8:64::/48","17832","Korea Internet Security Agency"
"42540543304900263122130013707709710336","42540543304901472047949628336884416511","2001:2b8:66::/48","17832","Korea Internet Security Agency"
"42540543304901472047949628336884416512","42540543304902680973769242966059122687","2001:2b8:67::/48","17832","Korea Internet Security Agency"
"42540543304902680973769242966059122688","42540543304903889899588857595233828863","2001:2b8:68::/48","17832","Korea Internet Security Agency"
"42540543304903889899588857595233828864","42540543304905098825408472224408535039","2001:2b8:69::/48","17832","Korea Internet Security Agency"
"42540543304912352380326159999456772096","42540543304913561306145774628631478271","2001:2b8:70::/48","17832","Korea Internet Security Agency"
"42540543304913561306145774628631478272","42540543304914770231965389257806184447","2001:2b8:71::/48","17832","Korea Internet Security Agency"
"42540543304914770231965389257806184448","42540543304915979157785003886980890623","2001:2b8:72::/48","17832","Korea Internet Security Agency"
"42540543304915979157785003886980890624","42540543304917188083604618516155596799","2001:2b8:73::/48","17832","Korea Internet Security Agency"
"42540543304917188083604618516155596800","42540543304918397009424233145330302975","2001:2b8:74::/48","17832","Korea Internet Security Agency"
"42540543304918397009424233145330302976","42540543304919605935243847774505009151","2001:2b8:75::/48","17832","Korea Internet Security Agency"
"42540543304951038006553828133047369728","42540543304952246932373442762222075903","2001:2b8:90::/48","1237","KISTI"
"42540543304955873709832286649746194432","42540543304957082635651901278920900607","2001:2b8:94::/48","1237","KISTI"
"42540543304975216522946120716541493248","42540543304976425448765735345716199423","2001:2b8:a4::/48","1237","KISTI"
"42540543305004230742616871816734441472","42540543305005439668436486445909147647","2001:2b8:bc::/48","1237","KISTI"
"42540543305055005627040686242072100864","42540543305056214552860300871246807039","2001:2b8:e6::/48","1237","KISTI"
"42540543305069512736876061792168574976","42540543305070721662695676421343281151","2001:2b8:f2::/48","17832","Korea Internet Security Agency"
"42540551544505854172020431260460515328","42540551623734016686284768854004465663","2001:320::/32","1237","KISTI"
"42540552812156454400249832757163720704","42540552891384616914514170350707671039","2001:330::/32","6619","SamsungSDS Inc."
"42540554079807054628479234253866926080","42540554159035217142743571847410876415","2001:340::/32","4678","Canon IT Solutions Inc."
"42540555347457654856708635750570131456","42540555426685817370972973344114081791","2001:350::/32","7671","NTT Smartconnect Corporation"
"42540556615108255084938037247273336832","42540556694336417599202374840817287167","2001:360::/32","1221","Telstra Pty Ltd"
"42540557882758855313167438743976542208","42540557961987017827431776337520492543","2001:370::/32","9607","BroadBand Tower, Inc."
"42540559784234755655511540989031350272","42540559863462918169775878582575300607","2001:388::/32","7575","Australian Academic and Reasearch Network (AARNet)"
"42540559784249262765346916539127824384","42540559784250471691166531168302530559","2001:388:c::/48","23859","University of New South Wales"
